epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,32986.3,0.99182,0.61906,0.00622,0.84042,0.71983,0.82439,0.60399,1.05026,0.8123,0.00827,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
48,33681.2,0.98402,0.60585,0.00613,0.83246,0.72683,0.82405,0.60306,1.05118,0.81671,0.00828,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
49,34376.4,0.97386,0.5969,0.00604,0.83949,0.72283,0.8239,0.60247,1.05151,0.81855,0.00828,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
50,35077.1,0.96708,0.58767,0.00595,0.83404,0.7248,0.82325,0.60205,1.05204,0.82165,0.00829,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
51,35809.5,0.95982,0.57938,0.00587,0.83566,0.72346,0.82279,0.60114,1.05262,0.82752,0.0083,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
52,36523.4,0.95102,0.56921,0.0058,0.8378,0.7241,0.82158,0.60064,1.05429,0.82942,0.00832,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
53,37236.4,0.94676,0.56364,0.00574,0.83907,0.72274,0.82121,0.60034,1.05503,0.83265,0.00833,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
54,37961.1,0.941,0.55398,0.00568,0.84004,0.7231,0.8209,0.59948,1.05813,0.83428,0.00836,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777
55,38669.2,0.93533,0.55074,0.00561,0.84107,0.72301,0.82066,0.59875,1.05862,0.83738,0.00837,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
56,39375.4,0.92985,0.54577,0.00558,0.83797,0.72612,0.82022,0.59853,1.06151,0.83862,0.0084,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667
57,40081,0.92591,0.53907,0.00554,0.83909,0.72501,0.81968,0.59772,1.0622,0.84372,0.00841,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
58,40798.7,0.9219,0.53733,0.00551,0.83946,0.7261,0.8192,0.59721,1.06326,0.84432,0.00843,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
59,41513,0.92195,0.53502,0.00549,0.8429,0.72047,0.81819,0.59582,1.06486,0.84674,0.00845,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
60,42225.5,0.92215,0.53537,0.00548,0.84225,0.72083,0.81774,0.59507,1.0667,0.84852,0.00847,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784
